crn,department,course_number,course_title,level,semester_id
35827,CS,CS 225,Data Structures,2,38
23728,CS,CS 233,Computer Architecture,2,38
83994,CS,CS 241,System Programming,4,38
39093,CS,CS 242,Programming Studio,4,38
43809,CS,CS 296,Honors Course,4,38
24915,CS,CS 357,Numerical Methods I,3,38
79805,CS,CS 361,Probability & Statistics for Computer Science,3,38
24913,CS,CS 374,Introduction to Algorithms & Models of Computation,4,38
30617,CS,CS 397,Individual Study,4,38
80777,CS,CS 410,Text Information Systems,4,38
41198,CS,CS 411,Database Systems,4,38
27076,CS,CS 412,Introduction to Data Mining,4,38
68863,CS,CS 413,Intro to Combinatorics,4,38
84086,CS,CS 418,Interactive Computer Graphics,4,38
22889,CS,CS 420,Parallel Progrmg: Sci & Engrg,4,38
32991,CS,CS 421,Programming Languages & Compilers,4,38
82453,CS,CS 424,Real-Time Systems,4,38
84637,CS,CS 425,Distributed Systems,4,38
38762,CS,CS 426,Compiler Construction,4,38
83887,CS,CS 427,Software Engineering I,4,38
49373,CS,CS 433,Computer System Organization,4,38
38681,CS,CS 438,Communication Networks,4,38
61627,CS,CS 440,Artificial Intelligence,3,38
96486,CS,CS 445,Computational Photography,4,38
30364,CS,CS 446,Machine Learning,4,38
53855,CS,CS 447,Natural Language Processing,4,38
25508,CS,CS 450,Numerical Analysis,4,38
56263,CS,CS 461,Computer Security I,4,38
68511,CS,CS 465,User Interface Design,3,38
58410,CS,CS 466,Introduction to Bioinformatics,3,38
37583,CS,CS 473,Algorithms,5,38
81340,CS,CS 481,Advanced Topics in Stochastic Processes & Applications,5,38
65856,CS,CS 483,Applied Parallel Programming,4,38
84487,CS,CS 484,Parallel Programming,4,38
37711,CS,CS 491,Seminar,4,38
63005,CS,CS 493,"Senior Project II, ACP",4,38
97543,CS,CS 494,Senior Project II,4,38
44403,CS,CS 497,CS Team Project,4,38
96988,CS,CS 498,Special Topics,4,38
68608,CS,CS 499,Senior Thesis,5,38
71233,CS,CS 510,Advanced Information Retrieval,5,38
95564,CS,CS 513,Theory & Practice of Data Cleaning,5,38
70041,CS,CS 523,Advanced Operating Systems,5,38
37053,CS,CS 536,Fault-Tolerant Dig Syst Design,5,38
39440,CS,CS 547,Deep Learning,5,38
62667,CS,CS 554,Parallel Numerical Algorithms,5,38
16203,CS,CS 563,Advanced Computer Security,5,38
98389,CS,CS 571,Combinatorial Mathematics,5,38
25456,CS,CS 576,Topics in Automated Deduction,5,38
88969,CS,CS 581,Algorithmic Genomic Biology,5,38
13679,CS,CS 584,Embedded System Verification,5,38
79931,CS,CS 591,Advanced Seminar,5,38
61635,CS,CS 598,Special Topics,5,38
98714,CS,CS 599,Thesis Research,5,38
63315,CS,CS 225,Data Structures,2,37
88487,CS,CS 233,Computer Architecture,2,37
22760,CS,CS 241,System Programming,4,37
97062,CS,CS 242,Programming Studio,4,37
18735,CS,CS 296,Honors Course,4,37
11454,CS,CS 357,Numerical Methods I,3,37
54436,CS,CS 361,Probability & Statistics for Computer Science,3,37
30816,CS,CS 374,Introduction to Algorithms & Models of Computation,4,37
67907,CS,CS 397,Individual Study,4,37
43286,CS,CS 410,Text Information Systems,4,37
57466,CS,CS 411,Database Systems,4,37
40199,CS,CS 412,Introduction to Data Mining,4,37
64681,CS,CS 413,Intro to Combinatorics,4,37
58164,CS,CS 418,Interactive Computer Graphics,4,37
67027,CS,CS 420,Parallel Progrmg: Sci & Engrg,4,37
93922,CS,CS 421,Programming Languages & Compilers,4,37
41051,CS,CS 424,Real-Time Systems,4,37
31815,CS,CS 425,Distributed Systems,4,37
23456,CS,CS 426,Compiler Construction,4,37
82136,CS,CS 427,Software Engineering I,4,37
21902,CS,CS 433,Computer System Organization,4,37
34592,CS,CS 438,Communication Networks,4,37
81824,CS,CS 440,Artificial Intelligence,3,37
69978,CS,CS 445,Computational Photography,4,37
80995,CS,CS 446,Machine Learning,4,37
94945,CS,CS 447,Natural Language Processing,4,37
42757,CS,CS 450,Numerical Analysis,4,37
19012,CS,CS 461,Computer Security I,4,37
93208,CS,CS 465,User Interface Design,3,37
23065,CS,CS 466,Introduction to Bioinformatics,3,37
22142,CS,CS 473,Algorithms,5,37
67884,CS,CS 481,Advanced Topics in Stochastic Processes & Applications,5,37
61781,CS,CS 483,Applied Parallel Programming,4,37
49632,CS,CS 484,Parallel Programming,4,37
10570,CS,CS 491,Seminar,4,37
80593,CS,CS 493,"Senior Project II, ACP",4,37
31399,CS,CS 494,Senior Project II,4,37
45401,CS,CS 497,CS Team Project,4,37
43746,CS,CS 498,Special Topics,4,37
90614,CS,CS 499,Senior Thesis,5,37
74538,CS,CS 510,Advanced Information Retrieval,5,37
28318,CS,CS 513,Theory & Practice of Data Cleaning,5,37
22961,CS,CS 523,Advanced Operating Systems,5,37
14720,CS,CS 536,Fault-Tolerant Dig Syst Design,5,37
82142,CS,CS 547,Deep Learning,5,37
57189,CS,CS 554,Parallel Numerical Algorithms,5,37
71276,CS,CS 563,Advanced Computer Security,5,37
60110,CS,CS 571,Combinatorial Mathematics,5,37
52702,CS,CS 576,Topics in Automated Deduction,5,37
51594,CS,CS 581,Algorithmic Genomic Biology,5,37
42873,CS,CS 584,Embedded System Verification,5,37
97661,CS,CS 591,Advanced Seminar,5,37
20679,CS,CS 598,Special Topics,5,37
48574,CS,CS 599,Thesis Research,5,37
55930,CS,CS 225,Data Structures,2,34
99674,CS,CS 233,Computer Architecture,2,34
94688,CS,CS 241,System Programming,4,34
79602,CS,CS 242,Programming Studio,4,34
23688,CS,CS 296,Honors Course,4,34
54737,CS,CS 357,Numerical Methods I,3,34
56180,CS,CS 361,Probability & Statistics for Computer Science,3,34
70917,CS,CS 374,Introduction to Algorithms & Models of Computation,4,34
38665,CS,CS 397,Individual Study,4,34
42327,CS,CS 410,Text Information Systems,4,34
35150,CS,CS 411,Database Systems,4,34
48043,CS,CS 412,Introduction to Data Mining,4,34
55828,CS,CS 413,Intro to Combinatorics,4,34
85703,CS,CS 418,Interactive Computer Graphics,4,34
45711,CS,CS 420,Parallel Progrmg: Sci & Engrg,4,34
12804,CS,CS 421,Programming Languages & Compilers,4,34
24355,CS,CS 424,Real-Time Systems,4,34
32781,CS,CS 425,Distributed Systems,4,34
18594,CS,CS 426,Compiler Construction,4,34
38313,CS,CS 427,Software Engineering I,4,34
91442,CS,CS 433,Computer System Organization,4,34
33628,CS,CS 438,Communication Networks,4,34
21717,CS,CS 440,Artificial Intelligence,3,34
10015,CS,CS 445,Computational Photography,4,34
21125,CS,CS 446,Machine Learning,4,34
47634,CS,CS 447,Natural Language Processing,4,34
47268,CS,CS 450,Numerical Analysis,4,34
48381,CS,CS 461,Computer Security I,4,34
13440,CS,CS 465,User Interface Design,3,34
65490,CS,CS 466,Introduction to Bioinformatics,3,34
71212,CS,CS 473,Algorithms,5,34
44558,CS,CS 481,Advanced Topics in Stochastic Processes & Applications,5,34
70831,CS,CS 483,Applied Parallel Programming,4,34
63823,CS,CS 484,Parallel Programming,4,34
42384,CS,CS 491,Seminar,4,34
20649,CS,CS 493,"Senior Project II, ACP",4,34
11904,CS,CS 494,Senior Project II,4,34
97267,CS,CS 497,CS Team Project,4,34
71145,CS,CS 498,Special Topics,4,34
77633,CS,CS 499,Senior Thesis,5,34
18142,CS,CS 510,Advanced Information Retrieval,5,34
27547,CS,CS 513,Theory & Practice of Data Cleaning,5,34
65114,CS,CS 523,Advanced Operating Systems,5,34
75084,CS,CS 536,Fault-Tolerant Dig Syst Design,5,34
74113,CS,CS 547,Deep Learning,5,34
74750,CS,CS 554,Parallel Numerical Algorithms,5,34
86240,CS,CS 563,Advanced Computer Security,5,34
32292,CS,CS 571,Combinatorial Mathematics,5,34
36486,CS,CS 576,Topics in Automated Deduction,5,34
24862,CS,CS 581,Algorithmic Genomic Biology,5,34
41242,CS,CS 584,Embedded System Verification,5,34
10357,CS,CS 591,Advanced Seminar,5,34
34359,CS,CS 598,Special Topics,5,34
36055,CS,CS 599,Thesis Research,5,34
19111,CS,CS 225,Data Structures,2,34
97337,CS,CS 233,Computer Architecture,2,34
40875,CS,CS 241,System Programming,4,34
26963,CS,CS 242,Programming Studio,4,34
41575,CS,CS 296,Honors Course,4,34
13878,CS,CS 357,Numerical Methods I,3,34
37833,CS,CS 361,Probability & Statistics for Computer Science,3,34
66919,CS,CS 374,Introduction to Algorithms & Models of Computation,4,34
33734,CS,CS 397,Individual Study,4,34
65530,CS,CS 410,Text Information Systems,4,34
29067,CS,CS 411,Database Systems,4,34
94618,CS,CS 412,Introduction to Data Mining,4,34
71016,CS,CS 413,Intro to Combinatorics,4,34
46874,CS,CS 418,Interactive Computer Graphics,4,34
15326,CS,CS 420,Parallel Progrmg: Sci & Engrg,4,34
29061,CS,CS 421,Programming Languages & Compilers,4,34
20177,CS,CS 424,Real-Time Systems,4,34
32380,CS,CS 425,Distributed Systems,4,34
55268,CS,CS 426,Compiler Construction,4,34
96986,CS,CS 427,Software Engineering I,4,34
41295,CS,CS 433,Computer System Organization,4,34
99009,CS,CS 438,Communication Networks,4,34
63341,CS,CS 440,Artificial Intelligence,3,34
89428,CS,CS 445,Computational Photography,4,34
65839,CS,CS 446,Machine Learning,4,34
84555,CS,CS 447,Natural Language Processing,4,34
42534,CS,CS 450,Numerical Analysis,4,34
45021,CS,CS 461,Computer Security I,4,34
10493,CS,CS 465,User Interface Design,3,34
72488,CS,CS 466,Introduction to Bioinformatics,3,34
57192,CS,CS 473,Algorithms,5,34
17588,CS,CS 481,Advanced Topics in Stochastic Processes & Applications,5,34
32504,CS,CS 483,Applied Parallel Programming,4,34
68657,CS,CS 484,Parallel Programming,4,34
85512,CS,CS 491,Seminar,4,34
34805,CS,CS 493,"Senior Project II, ACP",4,34
67759,CS,CS 494,Senior Project II,4,34
92820,CS,CS 497,CS Team Project,4,34
90623,CS,CS 498,Special Topics,4,34
90368,CS,CS 499,Senior Thesis,5,34
86078,CS,CS 510,Advanced Information Retrieval,5,34
87060,CS,CS 513,Theory & Practice of Data Cleaning,5,34
32783,CS,CS 523,Advanced Operating Systems,5,34
38881,CS,CS 536,Fault-Tolerant Dig Syst Design,5,34
26195,CS,CS 547,Deep Learning,5,34
94077,CS,CS 554,Parallel Numerical Algorithms,5,34
38018,CS,CS 563,Advanced Computer Security,5,34
85748,CS,CS 571,Combinatorial Mathematics,5,34
85764,CS,CS 576,Topics in Automated Deduction,5,34
88258,CS,CS 581,Algorithmic Genomic Biology,5,34
40753,CS,CS 584,Embedded System Verification,5,34
12463,CS,CS 591,Advanced Seminar,5,34
32188,CS,CS 598,Special Topics,5,34
72499,CS,CS 599,Thesis Research,5,34
65026,CS,CS 225,Data Structures,2,33
16286,CS,CS 233,Computer Architecture,2,33
54146,CS,CS 241,System Programming,4,33
78350,CS,CS 242,Programming Studio,4,33
20318,CS,CS 296,Honors Course,4,33
28910,CS,CS 357,Numerical Methods I,3,33
65995,CS,CS 361,Probability & Statistics for Computer Science,3,33
29980,CS,CS 374,Introduction to Algorithms & Models of Computation,4,33
35876,CS,CS 397,Individual Study,4,33
53548,CS,CS 410,Text Information Systems,4,33
39156,CS,CS 411,Database Systems,4,33
33729,CS,CS 412,Introduction to Data Mining,4,33
28795,CS,CS 413,Intro to Combinatorics,4,33
16729,CS,CS 418,Interactive Computer Graphics,4,33
61250,CS,CS 420,Parallel Progrmg: Sci & Engrg,4,33
42165,CS,CS 421,Programming Languages & Compilers,4,33
33523,CS,CS 424,Real-Time Systems,4,33
36489,CS,CS 425,Distributed Systems,4,33
58841,CS,CS 426,Compiler Construction,4,33
23352,CS,CS 427,Software Engineering I,4,33
27034,CS,CS 433,Computer System Organization,4,33
65107,CS,CS 438,Communication Networks,4,33
61153,CS,CS 440,Artificial Intelligence,3,33
32198,CS,CS 445,Computational Photography,4,33
74237,CS,CS 446,Machine Learning,4,33
29973,CS,CS 447,Natural Language Processing,4,33
35082,CS,CS 450,Numerical Analysis,4,33
47490,CS,CS 461,Computer Security I,4,33
56738,CS,CS 465,User Interface Design,3,33
92129,CS,CS 466,Introduction to Bioinformatics,3,33
13775,CS,CS 473,Algorithms,5,33
85426,CS,CS 481,Advanced Topics in Stochastic Processes & Applications,5,33
37117,CS,CS 483,Applied Parallel Programming,4,33
32731,CS,CS 484,Parallel Programming,4,33
34361,CS,CS 491,Seminar,4,33
10403,CS,CS 493,"Senior Project II, ACP",4,33
23822,CS,CS 494,Senior Project II,4,33
52181,CS,CS 497,CS Team Project,4,33
36394,CS,CS 498,Special Topics,4,33
90761,CS,CS 499,Senior Thesis,5,33
60004,CS,CS 510,Advanced Information Retrieval,5,33
19764,CS,CS 513,Theory & Practice of Data Cleaning,5,33
16362,CS,CS 523,Advanced Operating Systems,5,33
86304,CS,CS 536,Fault-Tolerant Dig Syst Design,5,33
30194,CS,CS 547,Deep Learning,5,33
49184,CS,CS 554,Parallel Numerical Algorithms,5,33
21899,CS,CS 563,Advanced Computer Security,5,33
21162,CS,CS 571,Combinatorial Mathematics,5,33
80363,CS,CS 576,Topics in Automated Deduction,5,33
21459,CS,CS 581,Algorithmic Genomic Biology,5,33
25927,CS,CS 584,Embedded System Verification,5,33
60815,CS,CS 591,Advanced Seminar,5,33
96820,CS,CS 598,Special Topics,5,33
82113,CS,CS 599,Thesis Research,5,33
80817,CS,CS 225,Data Structures,2,29
90682,CS,CS 233,Computer Architecture,2,29
10610,CS,CS 241,System Programming,4,29
53860,CS,CS 242,Programming Studio,4,29
54937,CS,CS 296,Honors Course,4,29
27922,CS,CS 357,Numerical Methods I,3,29
93301,CS,CS 361,Probability & Statistics for Computer Science,3,29
51791,CS,CS 374,Introduction to Algorithms & Models of Computation,4,29
91424,CS,CS 397,Individual Study,4,29
35810,CS,CS 410,Text Information Systems,4,29
97832,CS,CS 411,Database Systems,4,29
98204,CS,CS 412,Introduction to Data Mining,4,29
18453,CS,CS 413,Intro to Combinatorics,4,29
54854,CS,CS 418,Interactive Computer Graphics,4,29
51819,CS,CS 420,Parallel Progrmg: Sci & Engrg,4,29
71998,CS,CS 421,Programming Languages & Compilers,4,29
42574,CS,CS 424,Real-Time Systems,4,29
97476,CS,CS 425,Distributed Systems,4,29
80894,CS,CS 426,Compiler Construction,4,29
27894,CS,CS 427,Software Engineering I,4,29
66742,CS,CS 433,Computer System Organization,4,29
33279,CS,CS 438,Communication Networks,4,29
61799,CS,CS 440,Artificial Intelligence,3,29
74647,CS,CS 445,Computational Photography,4,29
74503,CS,CS 446,Machine Learning,4,29
19574,CS,CS 447,Natural Language Processing,4,29
23729,CS,CS 450,Numerical Analysis,4,29
31861,CS,CS 461,Computer Security I,4,29
45664,CS,CS 465,User Interface Design,3,29
38427,CS,CS 466,Introduction to Bioinformatics,3,29
74638,CS,CS 473,Algorithms,5,29
20427,CS,CS 481,Advanced Topics in Stochastic Processes & Applications,5,29
22406,CS,CS 483,Applied Parallel Programming,4,29
86506,CS,CS 484,Parallel Programming,4,29
28903,CS,CS 491,Seminar,4,29
13660,CS,CS 493,"Senior Project II, ACP",4,29
30697,CS,CS 494,Senior Project II,4,29
27740,CS,CS 497,CS Team Project,4,29
36551,CS,CS 498,Special Topics,4,29
74238,CS,CS 499,Senior Thesis,5,29
59388,CS,CS 510,Advanced Information Retrieval,5,29
37466,CS,CS 513,Theory & Practice of Data Cleaning,5,29
34193,CS,CS 523,Advanced Operating Systems,5,29
35457,CS,CS 536,Fault-Tolerant Dig Syst Design,5,29
11565,CS,CS 547,Deep Learning,5,29
79970,CS,CS 554,Parallel Numerical Algorithms,5,29
78848,CS,CS 563,Advanced Computer Security,5,29
68756,CS,CS 571,Combinatorial Mathematics,5,29
19181,CS,CS 576,Topics in Automated Deduction,5,29
44903,CS,CS 581,Algorithmic Genomic Biology,5,29
53181,CS,CS 584,Embedded System Verification,5,29
50968,CS,CS 591,Advanced Seminar,5,29
99669,CS,CS 598,Special Topics,5,29
78540,CS,CS 599,Thesis Research,5,29
41508,CS,CS 225,Data Structures,2,30
11913,CS,CS 233,Computer Architecture,2,30
82429,CS,CS 241,System Programming,4,30
34926,CS,CS 242,Programming Studio,4,30
81917,CS,CS 296,Honors Course,4,30
72651,CS,CS 357,Numerical Methods I,3,30
10566,CS,CS 361,Probability & Statistics for Computer Science,3,30
23840,CS,CS 374,Introduction to Algorithms & Models of Computation,4,30
70518,CS,CS 397,Individual Study,4,30
21163,CS,CS 410,Text Information Systems,4,30
72976,CS,CS 411,Database Systems,4,30
68875,CS,CS 412,Introduction to Data Mining,4,30
85350,CS,CS 413,Intro to Combinatorics,4,30
73977,CS,CS 418,Interactive Computer Graphics,4,30
77717,CS,CS 420,Parallel Progrmg: Sci & Engrg,4,30
49483,CS,CS 421,Programming Languages & Compilers,4,30
18107,CS,CS 424,Real-Time Systems,4,30
87829,CS,CS 425,Distributed Systems,4,30
62616,CS,CS 426,Compiler Construction,4,30
21027,CS,CS 427,Software Engineering I,4,30
69488,CS,CS 433,Computer System Organization,4,30
72523,CS,CS 438,Communication Networks,4,30
78321,CS,CS 440,Artificial Intelligence,3,30
34645,CS,CS 445,Computational Photography,4,30
28720,CS,CS 446,Machine Learning,4,30
89684,CS,CS 447,Natural Language Processing,4,30
87362,CS,CS 450,Numerical Analysis,4,30
85009,CS,CS 461,Computer Security I,4,30
98206,CS,CS 465,User Interface Design,3,30
99981,CS,CS 466,Introduction to Bioinformatics,3,30
46789,CS,CS 473,Algorithms,5,30
37157,CS,CS 481,Advanced Topics in Stochastic Processes & Applications,5,30
95210,CS,CS 483,Applied Parallel Programming,4,30
46594,CS,CS 484,Parallel Programming,4,30
22010,CS,CS 491,Seminar,4,30
69913,CS,CS 493,"Senior Project II, ACP",4,30
10592,CS,CS 494,Senior Project II,4,30
31630,CS,CS 497,CS Team Project,4,30
37804,CS,CS 498,Special Topics,4,30
23166,CS,CS 499,Senior Thesis,5,30
46741,CS,CS 510,Advanced Information Retrieval,5,30
56870,CS,CS 513,Theory & Practice of Data Cleaning,5,30
66424,CS,CS 523,Advanced Operating Systems,5,30
65353,CS,CS 536,Fault-Tolerant Dig Syst Design,5,30
86927,CS,CS 547,Deep Learning,5,30
27682,CS,CS 554,Parallel Numerical Algorithms,5,30
81424,CS,CS 563,Advanced Computer Security,5,30
21670,CS,CS 571,Combinatorial Mathematics,5,30
34911,CS,CS 576,Topics in Automated Deduction,5,30
33309,CS,CS 581,Algorithmic Genomic Biology,5,30
43203,CS,CS 584,Embedded System Verification,5,30
33553,CS,CS 591,Advanced Seminar,5,30
22908,CS,CS 598,Special Topics,5,30
76706,CS,CS 599,Thesis Research,5,30
75729,CS,CS 225,Data Structures,2,26
15919,CS,CS 233,Computer Architecture,2,26
50486,CS,CS 241,System Programming,4,26
24256,CS,CS 242,Programming Studio,4,26
30020,CS,CS 296,Honors Course,4,26
49157,CS,CS 357,Numerical Methods I,3,26
51499,CS,CS 361,Probability & Statistics for Computer Science,3,26
84173,CS,CS 374,Introduction to Algorithms & Models of Computation,4,26
66522,CS,CS 397,Individual Study,4,26
41982,CS,CS 410,Text Information Systems,4,26
43291,CS,CS 411,Database Systems,4,26
46168,CS,CS 412,Introduction to Data Mining,4,26
92539,CS,CS 413,Intro to Combinatorics,4,26
66136,CS,CS 418,Interactive Computer Graphics,4,26
12392,CS,CS 420,Parallel Progrmg: Sci & Engrg,4,26
81894,CS,CS 421,Programming Languages & Compilers,4,26
25481,CS,CS 424,Real-Time Systems,4,26
37957,CS,CS 425,Distributed Systems,4,26
77038,CS,CS 426,Compiler Construction,4,26
92005,CS,CS 427,Software Engineering I,4,26
94071,CS,CS 433,Computer System Organization,4,26
29837,CS,CS 438,Communication Networks,4,26
96720,CS,CS 440,Artificial Intelligence,3,26
60810,CS,CS 445,Computational Photography,4,26
12988,CS,CS 446,Machine Learning,4,26
32029,CS,CS 447,Natural Language Processing,4,26
70888,CS,CS 450,Numerical Analysis,4,26
53167,CS,CS 461,Computer Security I,4,26
50478,CS,CS 465,User Interface Design,3,26
16077,CS,CS 466,Introduction to Bioinformatics,3,26
74395,CS,CS 473,Algorithms,5,26
86110,CS,CS 481,Advanced Topics in Stochastic Processes & Applications,5,26
26851,CS,CS 483,Applied Parallel Programming,4,26
94321,CS,CS 484,Parallel Programming,4,26
81776,CS,CS 491,Seminar,4,26
62998,CS,CS 493,"Senior Project II, ACP",4,26
86814,CS,CS 494,Senior Project II,4,26
34164,CS,CS 497,CS Team Project,4,26
16353,CS,CS 498,Special Topics,4,26
32714,CS,CS 499,Senior Thesis,5,26
71910,CS,CS 510,Advanced Information Retrieval,5,26
67659,CS,CS 513,Theory & Practice of Data Cleaning,5,26
39484,CS,CS 523,Advanced Operating Systems,5,26
30937,CS,CS 536,Fault-Tolerant Dig Syst Design,5,26
63985,CS,CS 547,Deep Learning,5,26
70587,CS,CS 554,Parallel Numerical Algorithms,5,26
14974,CS,CS 563,Advanced Computer Security,5,26
82489,CS,CS 571,Combinatorial Mathematics,5,26
31931,CS,CS 576,Topics in Automated Deduction,5,26
26875,CS,CS 581,Algorithmic Genomic Biology,5,26
33312,CS,CS 584,Embedded System Verification,5,26
42311,CS,CS 591,Advanced Seminar,5,26
41552,CS,CS 598,Special Topics,5,26
27789,CS,CS 599,Thesis Research,5,26
23070,CS,CS 225,Data Structures,2,25
76540,CS,CS 233,Computer Architecture,2,25
33978,CS,CS 241,System Programming,4,25
58694,CS,CS 242,Programming Studio,4,25
23829,CS,CS 296,Honors Course,4,25
54260,CS,CS 357,Numerical Methods I,3,25
17635,CS,CS 361,Probability & Statistics for Computer Science,3,25
34155,CS,CS 374,Introduction to Algorithms & Models of Computation,4,25
68553,CS,CS 397,Individual Study,4,25
66360,CS,CS 410,Text Information Systems,4,25
96183,CS,CS 411,Database Systems,4,25
91821,CS,CS 412,Introduction to Data Mining,4,25
66282,CS,CS 413,Intro to Combinatorics,4,25
63070,CS,CS 418,Interactive Computer Graphics,4,25
90599,CS,CS 420,Parallel Progrmg: Sci & Engrg,4,25
55246,CS,CS 421,Programming Languages & Compilers,4,25
74093,CS,CS 424,Real-Time Systems,4,25
55053,CS,CS 425,Distributed Systems,4,25
82010,CS,CS 426,Compiler Construction,4,25
73277,CS,CS 427,Software Engineering I,4,25
92040,CS,CS 433,Computer System Organization,4,25
96763,CS,CS 438,Communication Networks,4,25
59623,CS,CS 440,Artificial Intelligence,3,25
58962,CS,CS 445,Computational Photography,4,25
38226,CS,CS 446,Machine Learning,4,25
73829,CS,CS 447,Natural Language Processing,4,25
76057,CS,CS 450,Numerical Analysis,4,25
83603,CS,CS 461,Computer Security I,4,25
36463,CS,CS 465,User Interface Design,3,25
37401,CS,CS 466,Introduction to Bioinformatics,3,25
88959,CS,CS 473,Algorithms,5,25
98395,CS,CS 481,Advanced Topics in Stochastic Processes & Applications,5,25
34093,CS,CS 483,Applied Parallel Programming,4,25
91659,CS,CS 484,Parallel Programming,4,25
43390,CS,CS 491,Seminar,4,25
31140,CS,CS 493,"Senior Project II, ACP",4,25
78175,CS,CS 494,Senior Project II,4,25
30281,CS,CS 497,CS Team Project,4,25
28192,CS,CS 498,Special Topics,4,25
29757,CS,CS 499,Senior Thesis,5,25
33656,CS,CS 510,Advanced Information Retrieval,5,25
54499,CS,CS 513,Theory & Practice of Data Cleaning,5,25
35368,CS,CS 523,Advanced Operating Systems,5,25
32844,CS,CS 536,Fault-Tolerant Dig Syst Design,5,25
87207,CS,CS 547,Deep Learning,5,25
38053,CS,CS 554,Parallel Numerical Algorithms,5,25
34453,CS,CS 563,Advanced Computer Security,5,25
47080,CS,CS 571,Combinatorial Mathematics,5,25
26948,CS,CS 576,Topics in Automated Deduction,5,25
54299,CS,CS 581,Algorithmic Genomic Biology,5,25
19050,CS,CS 584,Embedded System Verification,5,25
92069,CS,CS 591,Advanced Seminar,5,25
80590,CS,CS 598,Special Topics,5,25
13548,CS,CS 599,Thesis Research,5,25
11127,CS,CS 225,Data Structures,2,22
55108,CS,CS 233,Computer Architecture,2,22
81315,CS,CS 241,System Programming,4,22
39512,CS,CS 242,Programming Studio,4,22
56479,CS,CS 296,Honors Course,4,22
55177,CS,CS 357,Numerical Methods I,3,22
89512,CS,CS 361,Probability & Statistics for Computer Science,3,22
68722,CS,CS 374,Introduction to Algorithms & Models of Computation,4,22
50274,CS,CS 397,Individual Study,4,22
79960,CS,CS 410,Text Information Systems,4,22
49299,CS,CS 411,Database Systems,4,22
61911,CS,CS 412,Introduction to Data Mining,4,22
98361,CS,CS 413,Intro to Combinatorics,4,22
47135,CS,CS 418,Interactive Computer Graphics,4,22
14111,CS,CS 420,Parallel Progrmg: Sci & Engrg,4,22
49616,CS,CS 421,Programming Languages & Compilers,4,22
21821,CS,CS 424,Real-Time Systems,4,22
75874,CS,CS 425,Distributed Systems,4,22
61486,CS,CS 426,Compiler Construction,4,22
97617,CS,CS 427,Software Engineering I,4,22
34711,CS,CS 433,Computer System Organization,4,22
62911,CS,CS 438,Communication Networks,4,22
75778,CS,CS 440,Artificial Intelligence,3,22
18606,CS,CS 445,Computational Photography,4,22
56412,CS,CS 446,Machine Learning,4,22
27065,CS,CS 447,Natural Language Processing,4,22
98349,CS,CS 450,Numerical Analysis,4,22
60129,CS,CS 461,Computer Security I,4,22
19613,CS,CS 465,User Interface Design,3,22
51236,CS,CS 466,Introduction to Bioinformatics,3,22
